Test Method,MTS Simplified Tensile Edited.msm,,,
Sample I. D.,GroupB_polycarbonate.mss,,,
Specimen Number,5,,Trial 1,
,,,,
Load (N),Time (min),Extension (mm),Stress (MPa),Strain (mm/mm)
,,,,
75.389,0.003,-0.143,,
78.476,0.005,-0.119,,
77.827,0.007,-0.096,,
80.07,0.008,-0.073,,
80.508,0.01,-0.049,,
80.6,0.012,-0.026,,
80.691,0.013,-0.002,,
81.312,0.015,0.021,,
82.162,0.017,0.044,,
82.849,0.018,0.068,,
84.526,0.02,0.091,,
86.761,0.022,0.115,,
95.51,0.023,0.137,,
111.924,0.025,0.161,,
128.841,0.027,0.184,,
145.78,0.028,0.207,,
163.041,0.03,0.231,,
180.328,0.032,0.254,,
197.41,0.033,0.278,,
214.844,0.035,0.301,,
231.556,0.037,0.324,,
248.809,0.038,0.348,,
265.591,0.04,0.371,,
282.556,0.042,0.394,,
299.407,0.043,0.417,,
315.999,0.045,0.441,,
332.909,0.047,0.464,,
349.226,0.048,0.487,,
366.002,0.05,0.511,,
382.452,0.052,0.534,,
398.757,0.053,0.557,,
415.436,0.055,0.581,,
431.402,0.057,0.604,,
447.769,0.058,0.628,,
463.737,0.06,0.651,,
479.581,0.062,0.674,,
495.849,0.063,0.698,,
511.345,0.065,0.72,,
527.602,0.067,0.744,,
543.157,0.068,0.767,,
558.751,0.07,0.79,,
574.709,0.072,0.814,,
590.098,0.073,0.837,,
605.883,0.075,0.861,,
621.185,0.077,0.884,,
636.408,0.078,0.907,,
652.03,0.08,0.93,,
666.89,0.082,0.954,,
682.241,0.083,0.977,,
697.319,0.085,1,,
712.484,0.087,1.024,,
727.607,0.088,1.047,,
742.094,0.09,1.07,,
757.625,0.092,1.094,,
771.984,0.093,1.117,,
786.93,0.095,1.141,,
801.448,0.097,1.164,,
815.749,0.098,1.187,,
830.61,0.1,1.21,,
844.74,0.102,1.233,,
859.191,0.103,1.257,,
873.724,0.105,1.28,,
887.763,0.107,1.304,,
902.196,0.108,1.327,,
916.011,0.11,1.35,,
929.974,0.112,1.374,,
944.253,0.113,1.397,,
957.81,0.115,1.42,,
971.986,0.117,1.444,,
985.286,0.118,1.467,,
999.194,0.12,1.49,,
1012.554,0.122,1.513,,
1026.068,0.123,1.537,,
1039.812,0.125,1.56,,
1052.961,0.127,1.583,,
1066.402,0.128,1.607,,
1079.906,0.13,1.63,,
1092.541,0.132,1.653,,
1105.825,0.133,1.677,,
1118.611,0.135,1.7,,
1131.588,0.137,1.723,,
1144.646,0.138,1.747,,
1157.159,0.14,1.77,,
1170.215,0.142,1.794,,
1182.572,0.143,1.817,,
1195.313,0.145,1.84,,
1207.796,0.147,1.863,,
1220.165,0.148,1.887,,
1232.716,0.15,1.91,,
1244.766,0.152,1.933,,
1257.282,0.153,1.957,,
1269.368,0.155,1.98,,
1280.997,0.157,2.003,,
1293.11,0.158,2.027,,
1304.614,0.16,2.05,,
1316.575,0.162,2.073,,
1328.41,0.163,2.097,,
1339.907,0.165,2.12,,
1351.927,0.167,2.144,,
1363.039,0.168,2.167,,
1374.671,0.17,2.191,,
1385.808,0.172,2.213,,
1396.844,0.173,2.237,,
1408.229,0.175,2.26,,
1419.012,0.177,2.283,,
1430.295,0.178,2.307,,
1440.899,0.18,2.33,,
1451.67,0.182,2.353,,
1462.648,0.183,2.377,,
1473.049,0.185,2.4,,
1484.171,0.187,2.424,,
1494.477,0.188,2.447,,
1504.862,0.19,2.47,,
1515.42,0.192,2.493,,
1525.159,0.193,2.517,,
1535.743,0.195,2.54,,
1545.502,0.197,2.563,,
1555.748,0.198,2.587,,
1565.645,0.2,2.61,,
1575.33,0.202,2.633,,
1585.397,0.203,2.657,,
1594.862,0.205,2.68,,
1604.652,0.207,2.703,,
1614.156,0.208,2.726,,
1623.651,0.21,2.75,,
1633.192,0.212,2.773,,
1642.238,0.213,2.796,,
1651.759,0.215,2.82,,
1660.575,0.217,2.843,,
1669.679,0.218,2.867,,
1678.928,0.22,2.89,,
1687.688,0.222,2.913,,
1696.851,0.223,2.937,,
1705.474,0.225,2.96,,
1714.18,0.227,2.983,,
1722.96,0.228,3.006,,
1731.277,0.23,3.03,,
1739.956,0.232,3.053,,
1748.083,0.233,3.076,,
1756.558,0.235,3.1,,
1764.889,0.237,3.123,,
1772.913,0.238,3.146,,
1781.195,0.24,3.17,,
1789.042,0.242,3.193,,
1797.145,0.243,3.217,,
1805.095,0.245,3.239,,
1812.779,0.247,3.263,,
1820.764,0.248,3.287,,
1828.019,0.25,3.309,,
1835.931,0.252,3.333,,
1843.324,0.253,3.356,,
1850.859,0.255,3.38,,
1858.355,0.257,3.403,,
1865.548,0.258,3.426,,
1873.012,0.26,3.45,,
1880.076,0.262,3.473,,
1887.207,0.263,3.497,,
1894.279,0.265,3.52,,
1901.154,0.267,3.543,,
1908.303,0.268,3.566,,
1915.098,0.27,3.589,,
1921.775,0.272,3.613,,
1928.652,0.273,3.636,,
1935.085,0.275,3.659,,
1942.168,0.277,3.683,,
1948.369,0.278,3.706,,
1954.881,0.28,3.73,,
1961.505,0.282,3.753,,
1967.567,0.283,3.776,,
1974.074,0.285,3.8,,
1980.041,0.287,3.823,,
1986.246,0.288,3.846,,
1992.53,0.29,3.869,,
1998.434,0.292,3.893,,
2004.804,0.293,3.916,,
2010.447,0.295,3.939,,
2016.467,0.297,3.963,,
2022.378,0.298,3.986,,
2027.715,0.3,4.01,,
2033.703,0.302,4.033,,
2038.988,0.303,4.056,,
2044.712,0.305,4.079,,
2050.428,0.307,4.103,,
2055.689,0.308,4.126,,
2061.431,0.31,4.15,,
2066.615,0.312,4.173,,
2071.966,0.313,4.196,,
2077.349,0.315,4.22,,
2082.187,0.317,4.243,,
2087.669,0.318,4.267,,
2092.593,0.32,4.289,,
2097.725,0.322,4.313,,
2102.898,0.323,4.337,,
2107.599,0.325,4.36,,
2112.511,0.327,4.383,,
2116.98,0.328,4.406,,
2121.667,0.33,4.429,,
2126.59,0.332,4.453,,
2131.123,0.333,4.476,,
2135.916,0.335,4.5,,
2140.474,0.337,4.523,,
2144.923,0.338,4.547,,
2149.457,0.34,4.57,,
2153.615,0.342,4.593,,
2158.213,0.343,4.617,,
2162.079,0.345,4.639,,
2166.568,0.347,4.663,,
2170.635,0.348,4.686,,
2174.607,0.35,4.709,,
2178.835,0.352,4.733,,
2182.611,0.353,4.756,,
2186.793,0.355,4.78,,
2190.7,0.357,4.803,,
2194.389,0.358,4.826,,
2198.233,0.36,4.85,,
2201.84,0.362,4.873,,
2205.696,0.363,4.896,,
2209.01,0.365,4.919,,
2212.806,0.367,4.943,,
2216.264,0.368,4.966,,
2219.476,0.37,4.989,,
2223.032,0.372,5.013,,
2226.227,0.373,5.036,,
2229.574,0.375,5.06,,
2232.838,0.377,5.083,,
2235.731,0.378,5.106,,
2238.912,0.38,5.129,,
2241.62,0.382,5.152,,
2244.793,0.383,5.176,,
2247.682,0.385,5.199,,
2250.374,0.387,5.223,,
2253.376,0.388,5.246,,
2255.834,0.39,5.269,,
2258.678,0.392,5.293,,
2261.147,0.393,5.316,,
2263.577,0.395,5.34,,
2266.106,0.397,5.363,,
2268.095,0.398,5.386,,
2270.53,0.4,5.41,,
2272.399,0.402,5.433,,
2274.341,0.403,5.456,,
2276.53,0.405,5.48,,
2278.068,0.407,5.503,,
2279.912,0.408,5.526,,
2281.097,0.41,5.549,,
2282.56,0.412,5.573,,
2283.949,0.413,5.596,,
2284.611,0.415,5.619,,
2285.484,0.417,5.643,,
2285.756,0.418,5.666,,
2285.829,0.42,5.689,,
2285.637,0.422,5.713,,
2284.358,0.423,5.736,,
2282.771,0.425,5.759,,
2279.753,0.427,5.782,,
2275.523,0.428,5.806,,
2269.361,0.43,5.829,,
2260.115,0.432,5.853,,
2247.073,0.433,5.876,,
2226.525,0.435,5.899,,
2191.923,0.437,5.923,,
2103.583,0.438,5.946,,
2019.437,0.44,5.969,,
1978.629,0.442,5.993,,
1955.615,0.443,6.016,,
1941.959,0.445,6.04,,
1932.808,0.447,6.063,,
1926.342,0.448,6.086,,
1922.001,0.45,6.11,,
1918.132,0.452,6.133,,
1915.99,0.453,6.157,,
1914.023,0.455,6.179,,
