""
"Test Method","MTS Simplified Tensile Edited.msm"
"Sample I. D.","GroupB_polycarbonate.mss"
"Specimen Number","5"

"Load (N)","Time (min)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

75.389,0.003,-0.143,3.840,-0.003
78.476,0.005,-0.119,3.997,-0.003
77.827,0.007,-0.096,3.964,-0.002
80.070,0.008,-0.073,4.078,-0.002
80.508,0.010,-0.049,4.100,-0.001
80.600,0.012,-0.026,4.105,-0.001
80.691,0.013,-0.002,4.110,-0.000
81.312,0.015,0.021,4.141,0.000
82.162,0.017,0.044,4.184,0.001
82.849,0.018,0.068,4.219,0.002
84.526,0.020,0.091,4.305,0.002
86.761,0.022,0.115,4.419,0.003
95.510,0.023,0.137,4.864,0.003
111.924,0.025,0.161,5.700,0.004
128.841,0.027,0.184,6.562,0.004
145.780,0.028,0.207,7.425,0.005
163.041,0.030,0.231,8.304,0.005
180.328,0.032,0.254,9.184,0.006
197.410,0.033,0.278,10.054,0.006
214.844,0.035,0.301,10.942,0.007
231.556,0.037,0.324,11.793,0.007
248.809,0.038,0.348,12.672,0.008
265.591,0.040,0.371,13.526,0.008
282.556,0.042,0.394,14.390,0.009
299.407,0.043,0.417,15.249,0.009
315.999,0.045,0.441,16.094,0.010
332.909,0.047,0.464,16.955,0.010
349.226,0.048,0.487,17.786,0.011
366.002,0.050,0.511,18.640,0.011
382.452,0.052,0.534,19.478,0.012
398.757,0.053,0.557,20.309,0.013
415.436,0.055,0.581,21.158,0.013
431.402,0.057,0.604,21.971,0.014
447.769,0.058,0.628,22.805,0.014
463.737,0.060,0.651,23.618,0.015
479.581,0.062,0.674,24.425,0.015
495.849,0.063,0.698,25.253,0.016
511.345,0.065,0.720,26.043,0.016
527.602,0.067,0.744,26.871,0.017
543.157,0.068,0.767,27.663,0.017
558.751,0.070,0.790,28.457,0.018
574.709,0.072,0.814,29.270,0.018
590.098,0.073,0.837,30.053,0.019
605.883,0.075,0.861,30.857,0.019
621.185,0.077,0.884,31.637,0.020
636.408,0.078,0.907,32.412,0.020
652.030,0.080,0.930,33.208,0.021
666.890,0.082,0.954,33.964,0.021
682.241,0.083,0.977,34.746,0.022
697.319,0.085,1.000,35.514,0.022
712.484,0.087,1.024,36.287,0.023
727.607,0.088,1.047,37.057,0.024
742.094,0.090,1.070,37.795,0.024
757.625,0.092,1.094,38.586,0.025
771.984,0.093,1.117,39.317,0.025
786.930,0.095,1.141,40.078,0.026
801.448,0.097,1.164,40.817,0.026
815.749,0.098,1.187,41.546,0.027
830.610,0.100,1.210,42.303,0.027
844.740,0.102,1.233,43.022,0.028
859.191,0.103,1.257,43.758,0.028
873.724,0.105,1.280,44.498,0.029
887.763,0.107,1.304,45.213,0.029
902.196,0.108,1.327,45.948,0.030
916.011,0.110,1.350,46.652,0.030
929.974,0.112,1.374,47.363,0.031
944.253,0.113,1.397,48.090,0.031
957.810,0.115,1.420,48.781,0.032
971.986,0.117,1.444,49.503,0.032
985.286,0.118,1.467,50.180,0.033
999.194,0.120,1.490,50.889,0.033
1012.554,0.122,1.513,51.569,0.034
1026.068,0.123,1.537,52.257,0.035
1039.812,0.125,1.560,52.957,0.035
1052.961,0.127,1.583,53.627,0.036
1066.402,0.128,1.607,54.311,0.036
1079.906,0.130,1.630,54.999,0.037
1092.541,0.132,1.653,55.643,0.037
1105.825,0.133,1.677,56.319,0.038
1118.611,0.135,1.700,56.970,0.038
1131.588,0.137,1.723,57.631,0.039
1144.646,0.138,1.747,58.296,0.039
1157.159,0.140,1.770,58.934,0.040
1170.215,0.142,1.794,59.599,0.040
1182.572,0.143,1.817,60.228,0.041
1195.313,0.145,1.840,60.877,0.041
1207.796,0.147,1.863,61.513,0.042
1220.165,0.148,1.887,62.142,0.042
1232.716,0.150,1.910,62.782,0.043
1244.766,0.152,1.933,63.395,0.043
1257.282,0.153,1.957,64.033,0.044
1269.368,0.155,1.980,64.648,0.044
1280.997,0.157,2.003,65.241,0.045
1293.110,0.158,2.027,65.858,0.046
1304.614,0.160,2.050,66.443,0.046
1316.575,0.162,2.073,67.053,0.047
1328.410,0.163,2.097,67.655,0.047
1339.907,0.165,2.120,68.241,0.048
1351.927,0.167,2.144,68.853,0.048
1363.039,0.168,2.167,69.419,0.049
1374.671,0.170,2.191,70.011,0.049
1385.808,0.172,2.213,70.579,0.050
1396.844,0.173,2.237,71.141,0.050
1408.229,0.175,2.260,71.721,0.051
1419.012,0.177,2.283,72.270,0.051
1430.295,0.178,2.307,72.844,0.052
1440.899,0.180,2.330,73.384,0.052
1451.670,0.182,2.353,73.933,0.053
1462.648,0.183,2.377,74.492,0.053
1473.049,0.185,2.400,75.022,0.054
1484.171,0.187,2.424,75.588,0.054
1494.477,0.188,2.447,76.113,0.055
1504.862,0.190,2.470,76.642,0.056
1515.420,0.192,2.493,77.180,0.056
1525.159,0.193,2.517,77.676,0.057
1535.743,0.195,2.540,78.215,0.057
1545.502,0.197,2.563,78.712,0.058
1555.748,0.198,2.587,79.234,0.058
1565.645,0.200,2.610,79.738,0.059
1575.330,0.202,2.633,80.231,0.059
1585.397,0.203,2.657,80.744,0.060
1594.862,0.205,2.680,81.226,0.060
1604.652,0.207,2.703,81.724,0.061
1614.156,0.208,2.726,82.208,0.061
1623.651,0.210,2.750,82.692,0.062
1633.192,0.212,2.773,83.178,0.062
1642.238,0.213,2.796,83.638,0.063
1651.759,0.215,2.820,84.123,0.063
1660.575,0.217,2.843,84.572,0.064
1669.679,0.218,2.867,85.036,0.064
1678.928,0.220,2.890,85.507,0.065
1687.688,0.222,2.913,85.953,0.065
1696.851,0.223,2.937,86.420,0.066
1705.474,0.225,2.960,86.859,0.067
1714.180,0.227,2.983,87.302,0.067
1722.960,0.228,3.006,87.750,0.068
1731.277,0.230,3.030,88.173,0.068
1739.956,0.232,3.053,88.615,0.069
1748.083,0.233,3.076,89.029,0.069
1756.558,0.235,3.100,89.461,0.070
1764.889,0.237,3.123,89.885,0.070
1772.913,0.238,3.146,90.294,0.071
1781.195,0.240,3.170,90.716,0.071
1789.042,0.242,3.193,91.115,0.072
1797.145,0.243,3.217,91.528,0.072
1805.095,0.245,3.239,91.933,0.073
1812.779,0.247,3.263,92.324,0.073
1820.764,0.248,3.287,92.731,0.074
1828.019,0.250,3.309,93.100,0.074
1835.931,0.252,3.333,93.503,0.075
1843.324,0.253,3.356,93.880,0.075
1850.859,0.255,3.380,94.263,0.076
1858.355,0.257,3.403,94.645,0.076
1865.548,0.258,3.426,95.012,0.077
1873.012,0.260,3.450,95.392,0.078
1880.076,0.262,3.473,95.751,0.078
1887.207,0.263,3.497,96.115,0.079
1894.279,0.265,3.520,96.475,0.079
1901.154,0.267,3.543,96.825,0.080
1908.303,0.268,3.566,97.189,0.080
1915.098,0.270,3.589,97.535,0.081
1921.775,0.272,3.613,97.875,0.081
1928.652,0.273,3.636,98.225,0.082
1935.085,0.275,3.659,98.553,0.082
1942.168,0.277,3.683,98.914,0.083
1948.369,0.278,3.706,99.230,0.083
1954.881,0.280,3.730,99.561,0.084
