Test Method,MTS Tensile with Extensometer_edited.msm,,,,
Sample I. D.,GroupB_unknown metal,,,,
Specimen Number,2,,,Trial 1,
,,,,,
Load (N),Time (s),Extension (mm),Stress (MPa),Strain (mm/mm),Crosshead (mm)
,,,,,
-148.915,0.9,-0.354,-12.65799651,-0.006958915,
-146.554,1.7,-0.336,-12.457308,-0.006605072,
-143.843,2.5,-0.317,-12.22686897,-0.006231571,
-140.717,3.3,-0.299,-11.96115432,-0.005877728,
-137.669,4.1,-0.28,-11.70206979,-0.005504226,
-133.959,4.9,-0.262,-11.38671427,-0.005150383,
-129.993,5.7,-0.244,-11.04959837,-0.00479654,
-125.559,6.5,-0.224,-10.67270177,-0.004403381,
-120.603,7.3,-0.204,-10.2514344,-0.004010222,
-114.481,8.1,-0.184,-9.731055293,-0.003617063,
-107.404,8.9,-0.164,-9.129499766,-0.003223904,
-98.892,9.7,-0.146,-8.405967104,-0.002870061,
-88.385,10.5,-0.125,-7.512856475,-0.002457244,
-75.025,11.3,-0.103,-6.377236602,-0.002024769,
-57.12,12.1,-0.083,-4.855284967,-0.00163161,
-43.464,12.9,-0.07,-3.694504654,-0.001376057,
-42.115,13.7,-0.068,-3.579837647,-0.001336741,
-41.917,14.5,-0.067,-3.563007353,-0.001317083,
-41.739,15.3,-0.066,-3.547877088,-0.001297425,
-41.692,16.1,-0.067,-3.543882018,-0.001317083,
-41.648,16.9,-0.066,-3.540141952,-0.001297425,
-41.314,17.7,-0.066,-3.511751456,-0.001297425,
-41.014,18.5,-0.065,-3.486251009,-0.001277767,
-40.743,19.3,-0.065,-3.463215606,-0.001277767,
-40.685,20.1,-0.065,-3.45828552,-0.001277767,
-40.182,20.9,-0.065,-3.415529772,-0.001277767,
-39.522,21.7,-0.066,-3.35942879,-0.001297425,
-38.769,22.5,-0.065,-3.29542267,-0.001277767,
-25.112,23.3,-0.055,-2.134557355,-0.001081187,
6.131,24.1,-0.039,0.52114412,-0.00076666,
51.361,24.9,-0.022,4.365761401,-0.000432475,
55.766,25.7,-0.021,4.740192953,-0.000412817,
55.522,26.5,-0.02,4.71945259,-0.000393159,
55.35,27.3,-0.022,4.704832335,-0.000432475,
