Test Method	MTS Tensile with Extensometer_edited.msm				
Sample I. D.	GroupB_unknown metal				
Specimen Number	2				
					
Load (N)	Time (s)	Extension (mm)	Stress (MPa)	Strain (mm/mm)	Crosshead (mm)
					
-148.915	0.9	-0.354			
-146.554	1.7	-0.336			
-143.843	2.5	-0.317			
-140.717	3.3	-0.299			
-137.669	4.1	-0.28			
-133.959	4.9	-0.262			
-129.993	5.7	-0.244			
-125.559	6.5	-0.224			
-120.603	7.3	-0.204			
-114.481	8.1	-0.184			
-107.404	8.9	-0.164			
-98.892	9.7	-0.146			
-88.385	10.5	-0.125			
-75.025	11.3	-0.103			
-57.12	12.1	-0.083			
-43.464	12.9	-0.07			
-42.115	13.7	-0.068			
-41.917	14.5	-0.067			
-41.739	15.3	-0.066			
-41.692	16.1	-0.067			
-41.648	16.9	-0.066			
-41.314	17.7	-0.066			
-41.014	18.5	-0.065			
-40.743	19.3	-0.065			
-40.685	20.1	-0.065			
-40.182	20.9	-0.065			
-39.522	21.7	-0.066			
-38.769	22.5	-0.065			
-25.112	23.3	-0.055			
6.131	24.1	-0.039			
51.361	24.9	-0.022			
55.766	25.7	-0.021			
55.522	26.5	-0.02			
55.35	27.3	-0.022			
55.625	28.1	-0.021			
55.727	28.9	-0.02			
56.14	29.7	-0.019			
56.437	30.5	-0.02			
56.488	31.3	-0.02			
56.659	32.1	-0.018			
60.528	32.9	-0.018			
94.977	33.7	-0.01			
182.452	34.5	0.004			
287.789	35.3	0.019			
403.717	36.1	0.031			
524.353	36.9	0.043			
644.522	37.7	0.055			
767.163	38.5	0.063			
889.938	39.3	0.075			
1011.283	40.1	0.085			
1132.759	40.9	0.095			
1250.745	41.7	0.105			
1368.25	42.5	0.116			
1483.332	43.3	0.127			
1594.137	44.1	0.137			
1697.778	44.9	0.149			
1774.506	45.7	0.162			
1803.748	46.5	0.179			
1811.021	47.3	0.193			
1812.03	48.1	0.209			
1815.483	48.9	0.228			
1817.622	49.7	0.247			
1821.892	50.5	0.266			
1827.851	51.3	0.287			
1832.304	52.1	0.306			
1839.194	52.9	0.327			
1844.441	53.7	0.347			
1850.033	54.5	0.367			
1856.778	55.3	0.386			
1860.995	56.1	0.405			
1867.657	56.9	0.424			
1872.573	57.7	0.443			
1879.225	58.5	0.461			
1886.08	59.3	0.477			
1890.317	60.1	0.496			
1896.646	60.9	0.513			
1902.359	61.7	0.532			
1907.545	62.5	0.549			
1914.805	63.3	0.567			
1918.852	64.1	0.585			
1924.915	64.9	0.603			
1930.398	65.7	0.622			
1935.339	66.5	0.639			
1942.539	67.3	0.658			
1946.574	68.1	0.675			
1951.972	68.9	0.693			
1958.27	69.7	0.71			
1962.576	70.5	0.729			
1968.874	71.3	0.746			
1973.204	72.1	0.764			
1978.351	72.9	0.781			
1984.563	73.7	0.798			
1988.92	74.5	0.816			
1994.588	75.3	0.833			
1999.12	76.1	0.851			
2003.921	76.9	0.868			
2009.962	77.7	0.885			
2013.795	78.5	0.903			
2019.11	79.3	0.92			
2024.309	80.1	0.938			
2028.271	80.9	0.954			
2033.943	81.7	0.972			
2038.38	82.5	0.989			
2042.949	83.3	1.006			
2048.445	84.1	1.023			
2052.124	84.9	1.041			
2057.732	85.7	1.057			
2061.402	86.5	1.074			
2065.988	87.3	1.091			
2071.706	88.1	1.109			
2074.999	88.9	1.125			
2080.212	89.7	1.142			
2084.242	90.5	1.158			
2088.389	91.3	1.176			
2094.309	92.1	1.193			
2097.311	92.9	1.21			
2102.22	93.7	1.226			
2106.147	94.5	1.242			
2110.151	95.3	1.26			
2115.895	96.1	1.277			
2118.629	96.9	1.293			
2123.29	97.7	1.309			
2127.31	98.5	1.326			
2130.897	99.3	1.343			
2136.553	100.1	1.36			
2139.345	100.9	1.376			
2143.545	101.7	1.392			
2147.848	102.5	1.409			
2151.116	103.3	1.427			
2156.996	104.1	1.443			
2159.122	104.9	1.46			
2163.43	105.7	1.476			
2167.789	106.5	1.491			
2170.652	107.3	1.509			
2176.061	108.1	1.525			
2178.379	108.9	1.542			
2182.478	109.7	1.559			
2186.981	110.5	1.574			
2189.718	111.3	1.59			
2195.086	112.1	1.607			
2197.271	112.9	1.623			
2200.964	113.7	1.639			
2205.557	114.5	1.655			
2208.019	115.3	1.671			
2213.141	116.1	1.688			
2215.713	116.9	1.705			
2219.098	117.7	1.722			
2223.654	118.5	1.737			
2225.628	119.3	1.753			
2230.905	120.1	1.77			
2233.513	120.9	1.786			
2236.572	121.7	1.802			
2240.998	122.5	1.818			
2243.324	123.3	1.834			
2248.068	124.1	1.851			
2250.584	124.9	1.867			
2253.517	125.7	1.883			
2258.313	126.5	1.9			
2260.549	127.3	1.915			
2264.194	128.1	1.931			
2267.075	128.9	1.947			
2269.472	129.7	1.963			
2275.026	130.5	1.98			
2276.615	131.3	1.995			
2280.714	132.1	2.011			
2283.641	132.9	2.028			
2286.142	133.7	2.043			
2290.419	134.5	2.06			
2292.582	135.3	2.076			
2295.907	136.1	2.092			
2299.278	136.9	2.108			
2301.588	137.7	2.124			
2305.714	138.5	2.141			
2307.696	139.3	2.156			
2310.969	140.1	2.172			
2315.11	140.9	2.188			
2316.814	141.7	2.204			
2320.471	142.5	2.221			
2322.974	143.3	2.237			
2325.606	144.1	2.252			
2330.049	144.9	2.268			
2331.803	145.7	2.285			
2334.913	146.5	2.301			
2337.79	147.3	2.317			
2340.172	148.1	2.332			
2344.476	148.9	2.349			
2345.834	149.7	2.365			
2348.867	150.5	2.381			
2352.073	151.3	2.397			
2354.425	152.1	2.413			
2358.901	152.9	2.43			
2360.058	153.7	2.445			
2362.775	154.5	2.46			
2366.421	155.3	2.477			
2368.184	156.1	2.494			
2372.369	156.9	2.509			
2373.774	157.7	2.524			
2376.441	158.5	2.541			
2379.899	159.3	2.557			
2381.46	160.1	2.573			
2385.369	160.9	2.589			
2387.214	161.7	2.605			
2389.3	162.5	2.622			
2393.192	163.3	2.637			
2394.481	164.1	2.653			
2398.211	164.9	2.67			
2399.993	165.7	2.686			
2402.506	166.5	2.702			
2405.893	167.3	2.718			
2407.067	168.1	2.735			
2410.308	168.9	2.75			
2412.981	169.7	2.766			
2414.858	170.5	2.783			
2418.368	171.3	2.799			
2419.76	172.1	2.815			
2422.64	172.9	2.831			
2425.337	173.7	2.848			
2427.068	174.5	2.864			
2430.38	175.3	2.879			
2431.83	176.1	2.895			
2434.544	176.9	2.913			
2437.368	177.7	2.929			
2438.944	178.5	2.944			
2442.446	179.3	2.961			
2443.69	180.1	2.977			
2445.651	180.9	2.994			
2449.364	181.7	3.009			
2450.833	182.5	3.026			
2453.8	183.3	3.041			
2455.303	184.1	3.058			
2457.298	184.9	3.075			
2461.025	185.7	3.091			
2461.758	186.5	3.107			
2465.128	187.3	3.124			
2466.884	188.1	3.14			
2468.332	188.9	3.157			
2472.069	189.7	3.173			
2472.882	190.5	3.189			
2475.553	191.3	3.206			
2477.885	192.1	3.222			
2479.456	192.9	3.238			
2483.291	193.7	3.255			
2484.058	194.5	3.271			
2486.81	195.3	3.288			
2488.477	196.1	3.305			
2489.972	196.9	3.321			
2493.553	197.7	3.337			
2494.778	198.5	3.354			
2497.265	199.3	3.371			
2499.126	200.1	3.387			
2500.157	200.9	3.403			
2503.772	201.7	3.42			
2505.129	202.5	3.436			
2507.899	203.3	3.453			
2509.707	204.1	3.47			
2510.784	204.9	3.486			
2513.922	205.7	3.503			
2515.083	206.5	3.519			
2516.855	207.3	3.536			
2519.841	208.1	3.553			
2520.759	208.9	3.57			
2524.021	209.7	3.586			
2524.86	210.5	3.603			
2526.946	211.3	3.62			
2529.882	212.1	3.637			
2530.481	212.9	3.653			
2532.917	213.7	3.67			
2534.614	214.5	3.686			
2536.274	215.3	3.704			
2539.416	216.1	3.721			
2540.105	216.9	3.737			
2542.454	217.7	3.753			
2544.457	218.5	3.77			
2545.806	219.3	3.787			
2548.182	220.1	3.804			
2549.548	220.9	3.822			
2551.189	221.7	3.838			
2553.9	222.5	3.855			
2554.366	223.3	3.872			
2557.56	224.1	3.889			
2558.515	224.9	3.906			
2560.082	225.7	3.922			
2563.104	226.5	3.94			
2563.676	227.3	3.957			
2566.047	228.1	3.974			
2567.204	228.9	3.991			
2568.859	229.7	4.008			
2572.024	230.5	4.025			
2572.338	231.3	4.041			
2574.707	232.1	4.059			
2575.957	232.9	4.076			
2577.57	233.7	4.093			
2580.61	234.5	4.11			
2581.005	235.3	4.127			
2583.027	236.1	4.145			
2584.588	236.9	4.161			
2585.962	237.7	4.179			
2589.318	238.5	4.196			
2589.145	239.3	4.214			
2591.011	240.1	4.23			
2592.811	240.9	4.247			
2594.107	241.7	4.265			
2596.991	242.5	4.282			
2597.467	243.3	4.299			
2598.827	244.1	4.316			
2601.556	244.9	4.334			
2602.25	245.7	4.351			
2604.767	246.5	4.368			
2605.275	247.3	4.385			
2606.856	248.1	4.403			
2609.605	248.9	4.42			
2610.193	249.7	4.437			
2612.685	250.5	4.455			
2613.551	251.3	4.473			
2614.377	252.1	4.49			
2616.569	252.9	4.507			
2617.444	253.7	4.525			
2619.715	254.5	4.543			
2621.299	255.3	4.56			
2622.034	256.1	4.577			
2624.243	256.9	4.594			
2625.135	257.7	4.612			
2627.292	258.5	4.63			
2628.561	259.3	4.648			
2629.468	260.1	4.665			
2631.433	260.9	4.683			
2632.227	261.7	4.701			
2634.154	262.5	4.719			
2635.616	263.3	4.736			
2636.552	264.1	4.753			
2638.373	264.9	4.771			
2639.39	265.7	4.789			
2641.383	266.5	4.807			
2642.687	267.3	4.825			
2643.147	268.1	4.843			
2645.469	268.9	4.861			
2646.235	269.7	4.878			
2648.162	270.5	4.896			
2649.681	271.3	4.914			
2649.979	272.1	4.932			
2651.754	272.9	4.948			
2652.794	273.7	4.966			
2655.205	274.5	4.984			
2656.4	275.3	5.002			
2656.914	276.1	5.02			
2658.49	276.9	5.038			
2659.399	277.7	5.057			
2660.755	278.5	5.075			
2662.704	279.3	5.093			
2662.981	280.1	5.111			
2665.117	280.9	5.129			
2666.134	281.7	5.145			
2667.205	282.5	5.165			
2669.387	283.3	5.182			
2669.57	284.1	5.199			
2671.24	284.9	5.218			
2672.494	285.7	5.236			
2672.851	286.5	5.254			
2675.846	287.3	5.272			
2675.559	288.1	5.29			
2676.9	288.9	5.308			
2678.702	289.7	5.326			
2679.012	290.5	5.344			
2681.744	291.3	5.363			
2681.674	292.1	5.381			
2682.778	292.9	5.4			
2684.739	293.7	5.418			
2684.575	294.5	5.437			
2687.31	295.3	5.455			
2687.673	296.1	5.474			
2688.498	296.9	5.492			
2690.793	297.7	5.511			
2690.378	298.5	5.529			
2692.793	299.3	5.548			
2693.562	300.1	5.567			
2693.642	300.9	5.585			
2695.909	301.7	5.603			
2696.094	302.5	5.622			
2697.857	303.3	5.641			
2699.292	304.1	5.66			
2699.056	304.9	5.678			
2701.388	305.7	5.697			
2701.181	306.5	5.716			
2702.643	307.3	5.734			
2704.563	308.1	5.753			
2704.502	308.9	5.771			
2706.625	309.7	5.79			
2707.069	310.5	5.809			
2707.639	311.3	5.828			
2710.035	312.1	5.847			
2709.659	312.9	5.866			
2711.435	313.7	5.884			
2711.802	314.5	5.904			
2712.559	315.3	5.922			
2715.006	316.1	5.941			
2714.611	316.9	5.96			
2716.352	317.7	5.979			
2717.212	318.5	5.999			
2717.479	319.3	6.017			
2719.8	320.1	6.036			
2719.711	320.9	6.055			
2720.844	321.7	6.075			
2722.396	322.5	6.094			
2722.314	323.3	6.113			
2724.386	324.1	6.132			
2723.915	324.9	6.151			
2725.512	325.7	6.17			
2726.741	326.5	6.189			
2726.998	327.3	6.209			
2729.552	328.1	6.228			
2729.05	328.9	6.247			
2729.658	329.7	6.266			
2731.597	330.5	6.286			
2731.553	331.3	6.305			
2733.72	332.1	6.324			
2733.152	332.9	6.343			
2734.07	333.7	6.363			
2735.248	334.5	6.382			
2735.977	335.3	6.402			
2738.315	336.1	6.421			
2737.945	336.9	6.44			
2738.595	337.7	6.46			
2740.058	338.5	6.48			
2740.401	339.3	6.5			
2742.067	340.1	6.519			
2741.871	340.9	6.538			
2742.805	341.7	6.558			
2744.147	342.5	6.577			
2744.44	343.3	6.597			
2745.89	344.1	6.617			
2745.365	344.9	6.637			
2746.94	345.7	6.656			
2748.282	346.5	6.676			
2748.26	347.3	6.695			
2750.475	348.1	6.715			
2749.828	348.9	6.735			
2750.694	349.7	6.754			
2752.141	350.5	6.774			
2751.831	351.3	6.794			
2753.897	352.1	6.814			
2753.794	352.9	6.834			
2754.281	353.7	6.854			
2756.396	354.5	6.874			
2755.642	355.3	6.894			
2756.962	356.1	6.914			
2757.757	356.9	6.934			
2757.897	357.7	6.954			
2759.384	358.5	6.974			
2759.002	359.3	6.994			
2760.043	360.1	7.015			
2761.684	360.9	7.035			
2761.16	361.7	7.055			
2762.83	362.5	7.075			
2762.837	363.3	7.095			
2763.414	364.1	7.116			
2765.391	364.9	7.136			
2764.573	365.7	7.156			
2765.596	366.5	7.176			
2766.494	367.3	7.197			
2766.433	368.1	7.217			
2768.32	368.9	7.237			
2768.212	369.7	7.258			
2769.149	370.5	7.278			
2770.014	371.3	7.298			
2769.595	372.1	7.319			
2771.486	372.9	7.34			
2771.005	373.7	7.36			
2772.096	374.5	7.38			
2773.477	375.3	7.401			
2772.686	376.1	7.421			
2774.171	376.9	7.442			
2774.594	377.7	7.462			
2774.843	378.5	7.483			
2776.727	379.3	7.504			
2775.931	380.1	7.525			
2776.822	380.9	7.545			
2777.52	381.7	7.566			
2777.79	382.5	7.587			
2779.612	383.3	7.608			
2778.535	384.1	7.629			
2779.866	384.9	7.65			
2780.539	385.7	7.67			
2780.668	386.5	7.691			
2782.082	387.3	7.712			
2781.421	388.1	7.733			
2782.192	388.9	7.754			
2783.45	389.7	7.774			
2783.037	390.5	7.795			
2784.534	391.3	7.817			
2784.012	392.1	7.838			
2784.93	392.9	7.859			
2786.437	393.7	7.88			
2785.886	394.5	7.901			
2787.005	395.3	7.923			
2786.363	396.1	7.944			
2786.885	396.9	7.964			
2788.986	397.7	7.985			
2788.219	398.5	8.006			
2789.384	399.3	8.027			
2789.306	400.1	8.049			
2789.886	400.9	8.07			
2791.231	401.7	8.091			
2790.417	402.5	8.112			
2791.586	403.3	8.134			
2791.722	404.1	8.155			
2792.011	404.9	8.176			
2793.767	405.7	8.198			
2792.417	406.5	8.219			
2794.1	407.3	8.241			
2794.202	408.1	8.262			
2794.463	408.9	8.283			
2795.992	409.7	8.305			
2794.93	410.5	8.327			
2796.1	411.3	8.348			
2796.143	412.1	8.37			
2795.96	412.9	8.391			
2798.446	413.7	8.412			
2797.342	414.5	8.434			
2798.509	415.3	8.456			
2798.121	416.1	8.477			
2797.765	416.9	8.499			
2800.174	417.7	8.521			
2799.476	418.5	8.542			
2800.161	419.3	8.564			
2800.369	420.1	8.587			
2800.208	420.9	8.608			
2801.699	421.7	8.63			
2800.735	422.5	8.651			
2801.776	423.3	8.673			
2802.025	424.1	8.695			
2801.724	424.9	8.718			
2803.747	425.7	8.739			
2802.898	426.5	8.761			
2803.424	427.3	8.783			
2804.002	428.1	8.806			
2803.469	428.9	8.828			
2805.147	429.7	8.85			
2804.316	430.5	8.872			
2804.799	431.3	8.894			
2805.927	432.1	8.916			
2805.542	432.9	8.939			
2806.427	433.7	8.961			
2806.299	434.5	8.984			
2805.907	435.3	9.006			
2807.088	436.1	9.028			
2806.7	436.9	9.051			
2807.108	437.7	9.073			
2807.928	438.5	9.096			
2807.609	439.3	9.118			
2808.54	440.1	9.14			
2808.261	440.9	9.162			
2808.496	441.7	9.185			
2809.682	442.5	9.208			
2808.684	443.3	9.23			
2809.262	444.1	9.253			
2809.605	444.9	9.276			
2809.567	445.7	9.298			
2811.316	446.5	9.322			
2809.744	447.3	9.344			
2810.607	448.1	9.367			
2810.971	448.9	9.39			
2810.522	449.7	9.412			
2812.259	450.5	9.435			
2810.867	451.3	9.458			
2811.589	452.1	9.48			
2812.138	452.9	9.504			
2811.509	453.7	9.526			
2813.31	454.5	9.549			
2812.341	455.3	9.572			
2812.491	456.1	9.594			
2813.01	456.9	9.618			
2812.28	457.7	9.641			
2814.009	458.5	9.664			
2812.828	459.3	9.687			
2813.448	460.1	9.71			
2813.847	460.9	9.734			
2813.115	461.7	9.758			
2814.999	462.5	9.781			
2813.663	463.3	9.804			
2813.949	464.1	9.826			
2814.778	464.9	9.85			
2813.958	465.7	9.874			
2815.383	466.5	9.897			
2814.205	467.3	9.921			
2814.028	468.1	9.944			
2815.324	468.9	9.968			
2814.383	469.7	9.991			
2815.498	470.5	10.015			
2814.987	471.3	10.038			
2814.517	472.1	10.062			
2816.089	472.9	10.085			
2814.775	473.7	10.109			
2815.757	474.5	10.133			
2815.134	475.3	10.157			
2814.998	476.1	10.181			
2816.147	476.9	10.204			
2814.683	477.7	10.228			
2815.221	478.5	10.252			
2815.46	479.3	10.275			
2814.587	480.1	10.3			
2816.139	480.9	10.324			
2814.479	481.7	10.348			
2815.407	482.5	10.371			
2814.831	483.3	10.395			
2814.039	484.1	10.419			
2815.395	484.9	10.444			
2813.869	485.7	10.468			
2814.4	486.5	10.492			
2814.061	487.3	10.517			
2813.051	488.1	10.541			
2813.464	488.9	10.565			
2812.734	489.7	10.589			
2812.833	490.5	10.614			
2812.807	491.3	10.638			
2811.263	492.1	10.663			
2811.731	492.9	10.688			
2810.219	493.7	10.712			
2810.073	494.5	10.737			
2810.434	495.3	10.762			
2808.515	496.1	10.787			
2808.359	496.9	10.812			
2807.293	497.7	10.837			
2805.67	498.5	10.863			
2806.246	499.3	10.888			
2803.872	500.1	10.913			
2803.167	500.9	10.937			
2801.242	501.7	10.963			
2799.093	502.5	10.988			
2799.301	503.3	11.014			
2796.06	504.1	11.039			
2793.459	504.9	11.064			
2791.268	505.7	11.09			
2786.596	506.5	11.116			
2784.427	507.3	11.141			
2778.309	508.1	11.168			
2771.25	508.9	11.195			
2764.336	509.7	11.221			
2750.767	510.5	11.248			
2736.003	511.3	11.276			
2716.436	512.1	11.303			
2688.438	512.9	11.331			
2654.994	513.7	11.361			
2609.368	514.5	11.392			
2546.231	515.3	11.426			
2464.205	516.1	11.461			
2323.21	516.9	11.503			
-210.166	517.02	11.992			
